id,date,session_id,start_time,weigh_in_time,platform,weight_class,meet
229,2026-03-08,21,10:00:00,08:00:00,Stripes,M 94kg B,2026 VIRUS Weightlifting Series 1
230,2026-03-08,22,12:00:00,10:00:00,Red,M 94+kg + 110kg C,2026 VIRUS Weightlifting Series 1
231,2026-03-08,22,12:00:00,10:00:00,White,W 86+kg C,2026 VIRUS Weightlifting Series 1
232,2026-03-08,22,12:00:00,10:00:00,Blue,M 110+kg C,2026 VIRUS Weightlifting Series 1
233,2026-03-08,22,12:00:00,10:00:00,Stars,W 77kg C,2026 VIRUS Weightlifting Series 1
234,2026-03-08,22,12:00:00,10:00:00,Stripes,M 94kg A,2026 VIRUS Weightlifting Series 1
235,2026-03-08,23,14:00:00,12:00:00,Red,M 110kg B,2026 VIRUS Weightlifting Series 1
236,2026-03-08,23,14:00:00,12:00:00,White,W 86+kg B,2026 VIRUS Weightlifting Series 1
237,2026-03-08,23,14:00:00,12:00:00,Blue,M 110+kg B,2026 VIRUS Weightlifting Series 1
238,2026-03-08,23,14:00:00,12:00:00,Stars,W 77kg B,2026 VIRUS Weightlifting Series 1
239,2026-03-08,23,14:00:00,12:00:00,Stripes,W 77+kg + 86kg B,2026 VIRUS Weightlifting Series 1
240,2026-03-08,24,16:00:00,14:00:00,Red,M 110kg A,2026 VIRUS Weightlifting Series 1
241,2026-03-08,24,16:00:00,14:00:00,White,W 86+kg A,2026 VIRUS Weightlifting Series 1
242,2026-03-08,24,16:00:00,14:00:00,Blue,M 110+kg A,2026 VIRUS Weightlifting Series 1
243,2026-03-08,24,16:00:00,14:00:00,Stars,W 77kg A,2026 VIRUS Weightlifting Series 1
244,2026-03-08,24,16:00:00,14:00:00,Stripes,W 77+kg + 86kg A,2026 VIRUS Weightlifting Series 1
